title,description,endpoint_url,server_type,status,category,author,url
GitHub Repository Manager,"MCP service for managing GitHub repositories — create, list, search, and configure repos programmatically.",,WEBMCP,PENDING,developer-tools,demo-alex,https://webmcp.land/registry/github-repository-manager
SQL Query Builder,WebMCP service that generates and executes SQL queries from natural language descriptions.,,WEBMCP,PENDING,data-analytics,demo-jordan,https://webmcp.land/registry/sql-query-builder
Slack Notifier,"MCP service for sending messages, managing channels, and reading threads in Slack workspaces.",,WEBMCP,PENDING,communication,demo-sam,https://webmcp.land/registry/slack-notifier
Docker Container Manager,"MCP service for managing Docker containers — start, stop, inspect, and monitor running containers.",,WEBMCP,PENDING,devops,demo-taylor,https://webmcp.land/registry/docker-container-manager
Stripe Payment Gateway,"WebMCP service for processing payments, managing subscriptions, and handling invoices via Stripe.",,WEBMCP,PENDING,finance,demo-morgan,https://webmcp.land/registry/stripe-payment-gateway
Email Sender Service,"MCP service for composing and sending emails, managing templates, and tracking delivery status.",,WEBMCP,PENDING,communication,demo-casey,https://webmcp.land/registry/email-sender-service
Kubernetes Cluster Monitor,"MCP service for monitoring Kubernetes clusters — pod status, resource usage, and alerts.",,WEBMCP,PENDING,devops,demo-riley,https://webmcp.land/registry/kubernetes-cluster-monitor
OpenAI Chat Proxy,"WebMCP proxy service for OpenAI chat completions with caching, rate limiting, and usage tracking.",,WEBMCP,PENDING,ai-ml,demo-avery,https://webmcp.land/registry/openai-chat-proxy
File System Browser,"MCP service for browsing, reading, and searching files in a sandboxed directory tree.",,WEBMCP,PENDING,developer-tools,demo-pat,https://webmcp.land/registry/file-system-browser
Weather Forecast API,"WebMCP service providing real-time weather data, forecasts, and severe weather alerts by location.",,WEBMCP,PENDING,information,demo-quinn,https://webmcp.land/registry/weather-forecast-api
CI/CD Pipeline Runner,"MCP service for triggering, monitoring, and managing CI/CD pipeline runs across platforms.",,WEBMCP,PENDING,devops,demo-alex,https://webmcp.land/registry/cicd-pipeline-runner
PostgreSQL Admin Tools,"MCP service for PostgreSQL administration — run queries, manage schemas, view stats, and optimize performance.",,WEBMCP,PENDING,data-analytics,demo-jordan,https://webmcp.land/registry/postgresql-admin-tools
Image Resizer & Optimizer,"WebMCP service for resizing, compressing, and converting images in various formats.",,WEBMCP,PENDING,media-entertainment,demo-casey,https://webmcp.land/registry/image-resizer-optimizer
AWS S3 File Manager,"MCP service for uploading, downloading, listing, and managing files in AWS S3 buckets.",,WEBMCP,PENDING,cloud-services,demo-taylor,https://webmcp.land/registry/aws-s3-file-manager
Jira Issue Tracker,"WebMCP service for creating, updating, and querying Jira issues and sprint boards.",,WEBMCP,PENDING,productivity,demo-morgan,https://webmcp.land/registry/jira-issue-tracker
Text-to-Speech Generator,WebMCP service for converting text to natural-sounding speech in multiple languages and voices.,,WEBMCP,PENDING,ai-ml,demo-riley,https://webmcp.land/registry/text-to-speech-generator
Redis Cache Manager,"MCP service for interacting with Redis — get, set, delete keys, manage TTLs, and monitor cache stats.",,WEBMCP,PENDING,developer-tools,demo-avery,https://webmcp.land/registry/redis-cache-manager
PDF Document Parser,"WebMCP service for extracting text, tables, and metadata from PDF documents.",,WEBMCP,PENDING,productivity,demo-pat,https://webmcp.land/registry/pdf-document-parser
DNS Lookup Service,"MCP service for performing DNS queries — A, AAAA, MX, CNAME, TXT, and NS record lookups.",,WEBMCP,PENDING,devops,demo-quinn,https://webmcp.land/registry/dns-lookup-service
Figma Design Exporter,"WebMCP service for exporting Figma frames, components, and assets as images or SVGs.",,WEBMCP,PENDING,design,demo-sam,https://webmcp.land/registry/figma-design-exporter
Sentry Error Tracker,"MCP service for querying, resolving, and analyzing errors and issues from Sentry projects.",,WEBMCP,PENDING,developer-tools,demo-alex,https://webmcp.land/registry/sentry-error-tracker
Google Calendar Sync,"WebMCP service for reading, creating, and managing Google Calendar events and reminders.",,WEBMCP,PENDING,productivity,demo-jordan,https://webmcp.land/registry/google-calendar-sync
NPM Package Inspector,"MCP service for searching, inspecting, and comparing npm packages — versions, dependencies, and downloads.",,WEBMCP,PENDING,developer-tools,demo-casey,https://webmcp.land/registry/npm-package-inspector
Notion Page Manager,"WebMCP service for creating, reading, updating, and searching pages in Notion workspaces.",,WEBMCP,PENDING,productivity,demo-taylor,https://webmcp.land/registry/notion-page-manager
SSL Certificate Checker,"MCP service for verifying SSL/TLS certificates — expiry dates, chain validity, and cipher suites.",,WEBMCP,PENDING,security,demo-riley,https://webmcp.land/registry/ssl-certificate-checker
Translation Service,WebMCP service for translating text between 50+ languages with automatic language detection.,,WEBMCP,PENDING,ai-ml,demo-morgan,https://webmcp.land/registry/translation-service
GitHub Actions Runner,"MCP service for triggering, listing, and inspecting GitHub Actions workflow runs.",,WEBMCP,PENDING,devops,demo-avery,https://webmcp.land/registry/github-actions-runner
MongoDB Query Tool,"MCP service for querying, inserting, updating, and aggregating documents in MongoDB collections.",,WEBMCP,PENDING,data-analytics,demo-pat,https://webmcp.land/registry/mongodb-query-tool
Twilio SMS Gateway,"WebMCP service for sending SMS messages, managing phone numbers, and checking delivery status via Twilio.",,WEBMCP,PENDING,communication,demo-quinn,https://webmcp.land/registry/twilio-sms-gateway
Terraform State Viewer,"MCP service for inspecting Terraform state files, resource dependencies, and drift detection.",,WEBMCP,PENDING,cloud-services,demo-sam,https://webmcp.land/registry/terraform-state-viewer
Markdown to HTML Converter,WebMCP service for converting Markdown documents to styled HTML with syntax highlighting and TOC generation.,,WEBMCP,PENDING,developer-tools,demo-alex,https://webmcp.land/registry/markdown-to-html-converter
Cloudflare DNS Manager,"MCP service for managing Cloudflare DNS zones and records — create, update, delete, and list DNS entries.",,WEBMCP,PENDING,cloud-services,demo-jordan,https://webmcp.land/registry/cloudflare-dns-manager
Code Review Assistant,"WebMCP service that analyzes pull requests and provides code review feedback on style, bugs, and security.",,WEBMCP,PENDING,developer-tools,demo-taylor,https://webmcp.land/registry/code-review-assistant
GraphQL Playground,"MCP service for introspecting GraphQL schemas, running queries, and testing mutations against any endpoint.",,WEBMCP,PENDING,developer-tools,demo-morgan,https://webmcp.land/registry/graphql-playground
Prometheus Metrics Exporter,"MCP service for querying Prometheus metrics, setting up alerts, and generating dashboards.",,WEBMCP,PENDING,devops,demo-riley,https://webmcp.land/registry/prometheus-metrics-exporter
Webhook Relay,"WebMCP service for receiving, inspecting, replaying, and forwarding webhooks from any source.",,WEBMCP,PENDING,developer-tools,demo-casey,https://webmcp.land/registry/webhook-relay
Currency Exchange Rates,WebMCP service providing real-time and historical currency exchange rates for 160+ currencies.,,WEBMCP,PENDING,finance,demo-avery,https://webmcp.land/registry/currency-exchange-rates
Elasticsearch Query Builder,"MCP service for building and executing Elasticsearch queries, managing indices, and viewing cluster health.",,WEBMCP,PENDING,data-analytics,demo-pat,https://webmcp.land/registry/elasticsearch-query-builder
Discord Bot Controller,"MCP service for managing Discord bots — send messages, manage roles, moderate channels, and configure webhooks.",,WEBMCP,PENDING,communication,demo-quinn,https://webmcp.land/registry/discord-bot-controller
Cron Job Scheduler,"WebMCP service for scheduling, managing, and monitoring cron jobs with retry logic and failure alerts.",,WEBMCP,PENDING,devops,demo-sam,https://webmcp.land/registry/cron-job-scheduler
OAuth Token Manager,"MCP service for managing OAuth2 tokens — refresh, revoke, introspect, and generate tokens for multiple providers.",,WEBMCP,PENDING,security,demo-alex,https://webmcp.land/registry/oauth-token-manager
CSV Data Processor,"WebMCP service for parsing, transforming, filtering, and exporting CSV data with column mapping support.",,WEBMCP,PENDING,data-analytics,demo-jordan,https://webmcp.land/registry/csv-data-processor
